s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,kW/m2,kW,kW
Time,"AST_TP08","AST_TP09","AST_TP10","AST_TP11","AST_TP12","AST_TP13","AST_TP15","AST_TP18","AST_TP19","AST_TP20","AST_TP21","AST_TP22","AST_TP99","AST_TP40","AST_TP41","AST_TP42","AST_TP43","AST_TP44","QINC_TP08","QINC_TP09","QINC_TP10","QINC_TP11","QINC_TP12","QINC_TP13","QINC_TP15","QINC_TP18","QINC_TP19","QINC_TP20","QINC_TP21","QINC_TP22","QINC_TP99","QINC_TP40","QINC_TP41","QINC_TP42","QINC_TP43","QINC_TP44","T_TE33","T_TE34","T_TE35","T_TE36","T_TE37","T_TE38","RAD-W9","STAT-CLT-HRR","STAT-BURNER-HRR"
 0.0000000E+000, 1.9165867E+001, 1.9211933E+001, 1.9205891E+001, 1.9085509E+001, 1.9088260E+001, 1.9364708E+001, 1.9264585E+001, 1.9436520E+001, 1.8930284E+001, 1.9411737E+001, 1.9407151E+001, 1.9348573E+001, 1.9320394E+001, 1.8710072E+001, 1.8419641E+001, 1.8174825E+001, 1.8123295E+001, 1.8308092E+001, 4.1401987E-001, 4.1428092E-001, 4.1424667E-001, 4.1356480E-001, 4.1358038E-001, 4.1514753E-001, 4.1457943E-001, 4.1555536E-001, 4.1268682E-001, 4.1541458E-001, 4.1538853E-001, 4.1505594E-001, 4.1489602E-001, 4.1144366E-001, 4.0801314E-001, 4.0843374E-001, 4.0814484E-001, 4.0918160E-001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-9.6774073E-003, 0.0000000E+000, 0.0000000E+000
 5.0490499E-001, 2.0649026E+001, 2.0593507E+001, 2.1114424E+001, 2.0940474E+001, 2.0394632E+001, 1.9926403E+001, 1.9915387E+001, 1.9899376E+001, 1.9926241E+001, 1.9926116E+001, 1.9931434E+001, 1.9949313E+001, 1.9952051E+001, 1.9427620E+001, 1.9301170E+001, 1.9271119E+001, 1.9453886E+001, 1.9506846E+001, 4.4174877E-001, 4.3892897E-001, 4.5742045E-001, 4.5275514E-001, 4.3244621E-001, 4.1721904E-001, 4.1699904E-001, 4.1646215E-001, 4.1710795E-001, 4.1716211E-001, 4.1719521E-001, 4.1744972E-001, 4.1786325E-001, 4.1494089E-001, 4.1399464E-001, 4.1389267E-001, 4.1511838E-001, 4.1544684E-001, 2.0001283E+001, 2.0002665E+001, 2.0000542E+001, 1.9999466E+001, 1.9999616E+001, 1.9999594E+001,-4.2940586E-003, 0.0000000E+000, 4.5711689E-005
 1.0098100E+000, 2.7645477E+001, 2.9979643E+001, 3.2983873E+001, 2.6914071E+001, 2.7626516E+001, 2.0070217E+001, 2.0003553E+001, 1.9966541E+001, 1.9976635E+001, 1.9975054E+001, 1.9974463E+001, 1.9977080E+001, 2.0062885E+001, 1.9765179E+001, 1.9663423E+001, 1.9737608E+001, 1.9773324E+001, 1.9743165E+001, 7.0148424E-001, 7.9043737E-001, 9.0223096E-001, 6.7447944E-001, 7.0053315E-001, 4.2137504E-001, 4.1892668E-001, 4.1757166E-001, 4.1793246E-001, 4.1787276E-001, 4.1785141E-001, 4.1794321E-001, 4.2109139E-001, 4.1715946E-001, 4.1646444E-001, 4.1697147E-001, 4.1721532E-001, 4.1700908E-001, 2.0035834E+001, 2.0054402E+001, 2.0035108E+001, 1.9998764E+001, 1.9999150E+001, 1.9999195E+001,-2.0712356E-003, 0.0000000E+000, 3.0267860E-002
 1.5147150E+000, 4.6879615E+001, 4.5703084E+001, 6.0897048E+001, 5.1112212E+001, 4.6957011E+001, 2.1673176E+001, 2.0316333E+001, 1.9988225E+001, 1.9981877E+001, 1.9985059E+001, 1.9987278E+001, 1.9985157E+001, 2.2806298E+001, 1.9927848E+001, 1.9870719E+001, 1.9897431E+001, 1.9895049E+001, 1.9871853E+001, 1.4263237E+000, 1.3831562E+000, 1.9734750E+000, 1.5887583E+000, 1.4312981E+000, 4.8031660E-001, 4.3041225E-001, 4.1838834E-001, 4.1814039E-001, 4.1825526E-001, 4.1833775E-001, 4.1825377E-001, 5.2223233E-001, 4.1827246E-001, 4.1788163E-001, 4.1806430E-001, 4.1804783E-001, 4.1788914E-001, 2.0197104E+001, 2.0304782E+001, 2.0180616E+001, 1.9998503E+001, 1.9998889E+001, 1.9998984E+001,-7.9576957E-004, 0.0000000E+000, 1.8638738E-001
 2.0224918E+000, 6.6087553E+001, 6.7915795E+001, 9.4596368E+001, 7.8259693E+001, 6.4852606E+001, 2.8402758E+001, 2.2338266E+001, 2.0001850E+001, 1.9989926E+001, 1.9991860E+001, 1.9993962E+001, 1.9991327E+001, 3.0113787E+001, 2.0245461E+001, 2.0003951E+001, 1.9965105E+001, 1.9961129E+001, 1.9958621E+001, 2.1651068E+000, 2.2356385E+000, 3.3253019E+000, 2.6571999E+000, 2.1171038E+000, 7.2913022E-001, 5.0467871E-001, 4.1889671E-001, 4.1844725E-001, 4.1851432E-001, 4.1859175E-001, 4.1848956E-001, 7.9299574E-001, 4.2045100E-001, 4.1879393E-001, 4.1852763E-001, 4.1850025E-001, 4.1848311E-001, 2.0561806E+001, 2.0887142E+001, 2.0525205E+001, 1.9998609E+001, 1.9998747E+001, 1.9998852E+001, 2.5299652E-005, 0.0000000E+000, 3.1824803E-001
 2.5019957E+000, 7.9697734E+001, 8.2162809E+001, 1.1667457E+002, 9.6207521E+001, 7.9750072E+001, 3.7944271E+001, 2.4982303E+001, 2.0082643E+001, 1.9995498E+001, 2.0004248E+001, 2.0023504E+001, 1.9994079E+001, 4.2028742E+001, 2.1208822E+001, 2.0575322E+001, 2.0005843E+001, 1.9983235E+001, 1.9973410E+001, 2.6892367E+000, 2.7878738E+000, 4.2444797E+000, 3.3709309E+000, 2.6919756E+000, 1.0832707E+000, 6.0124310E-001, 4.2185952E-001, 4.1865730E-001, 4.1897312E-001, 4.1967965E-001, 4.1859549E-001, 1.2370961E+000, 4.2709561E-001, 4.2272366E-001, 4.1880670E-001, 4.1865166E-001, 4.1858444E-001, 2.1086456E+001, 2.1719674E+001, 2.1026433E+001, 2.0000234E+001, 1.9998829E+001, 1.9998875E+001, 3.5620620E-003, 0.0000000E+000, 5.7533738E-001
 3.0061941E+000, 8.6226623E+001, 8.7806618E+001, 1.2971952E+002, 1.0670162E+002, 8.6346652E+001, 4.5537617E+001, 2.7297078E+001, 2.0244608E+001, 2.0085324E+001, 2.0095846E+001, 2.0238857E+001, 2.0009298E+001, 5.0046941E+001, 2.2993654E+001, 2.2534859E+001, 2.0428146E+001, 2.0024935E+001, 1.9992854E+001, 2.9234634E+000, 2.9850843E+000, 4.6265702E+000, 3.7500058E+000, 2.9289732E+000, 1.3621147E+000, 6.8431720E-001, 4.2774604E-001, 4.2195590E-001, 4.2232458E-001, 4.2755384E-001, 4.1915600E-001, 1.5321190E+000, 4.3954949E-001, 4.3633744E-001, 4.2170696E-001, 4.1893721E-001, 4.1871763E-001, 2.1699601E+001, 2.2827488E+001, 2.1621995E+001, 2.0006769E+001, 2.0001095E+001, 2.0000182E+001, 1.5814461E-002, 1.1211409E-005, 9.3579711E-001
 3.5198576E+000, 9.5755308E+001, 9.8406427E+001, 1.4286508E+002, 1.2595852E+002, 9.1873495E+001, 4.8007634E+001, 2.8008686E+001, 2.0323123E+001, 2.0386442E+001, 2.0187794E+001, 2.0424911E+001, 2.0055150E+001, 5.2817858E+001, 2.5120650E+001, 2.4755395E+001, 2.1648339E+001, 2.0459719E+001, 2.0043181E+001, 3.0088369E+000, 3.0648165E+000, 4.7610645E+000, 3.8734071E+000, 3.0203927E+000, 1.4419048E+000, 7.0659253E-001, 4.3047101E-001, 4.3291968E-001, 4.2562097E-001, 4.3419750E-001, 4.2082566E-001, 1.6211614E+000, 4.5462448E-001, 4.5201233E-001, 4.3014095E-001, 4.2192334E-001, 4.1906260E-001, 2.2392856E+001, 2.5700886E+001, 2.2268910E+001, 2.0018056E+001, 2.0008488E+001, 2.0004488E+001, 2.9921860E-002, 5.6792448E-005, 1.3033992E+000
 4.0119460E+000, 1.0166710E+002, 9.6525452E+001, 1.5135775E+002, 1.2268067E+002, 1.0730876E+002, 4.9228984E+001, 2.8374932E+001, 2.0363184E+001, 2.0554423E+001, 2.0224512E+001, 2.0482125E+001, 2.0082946E+001, 5.4473407E+001, 2.6196878E+001, 2.5744663E+001, 2.2498486E+001, 2.1116007E+001, 2.0247215E+001, 3.0490735E+000, 3.0978783E+000, 4.8190124E+000, 3.9313356E+000, 3.0612095E+000, 1.4709342E+000, 7.1552863E-001, 4.3173576E-001, 4.3880022E-001, 4.2683448E-001, 4.3600199E-001, 4.2180221E-001, 1.6517579E+000, 4.6234864E-001, 4.5909106E-001, 4.3606366E-001, 4.2644793E-001, 4.2046190E-001, 2.3973917E+001, 2.8244220E+001, 2.3678332E+001, 2.0030668E+001, 2.0018334E+001, 2.0010291E+001, 3.6292716E-002, 1.6124272E-004, 1.7165321E+000
