s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.2890724E-001,-7.3539648E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2890724E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0490499E-001, 4.5755747E-005,-2.4931194E-002, 2.1367482E-003, 3.3794936E-001, 2.0113926E-007, 0.0000000E+000, 0.0000000E+000, 2.5878199E-001, 3.1520087E-001, 0.0000000E+000, 4.0980108E-009, 0.0000000E+000
 1.0098100E+000, 3.0699037E-002, 1.7575790E-001, 2.4353551E-002, 1.0834366E+000, 4.3298077E-004, 0.0000000E+000, 0.0000000E+000, 1.2355850E+000, 1.3146801E+000, 0.0000000E+000, 8.2779817E-007, 0.0000000E+000
 1.5147150E+000, 2.0552879E-001, 6.5430860E-001, 1.4162865E-002, 1.7038772E+000, 4.6636763E-003, 0.0000000E+000, 0.0000000E+000, 2.5097046E+000, 2.5825411E+000, 0.0000000E+000, 4.2504568E-006, 0.0000000E+000
 2.0224917E+000, 4.6052748E-001, 1.3295008E+000,-7.1968710E-003, 2.2295719E+000, 1.5574362E-002, 0.0000000E+000, 0.0000000E+000, 3.9555817E+000, 4.0279777E+000, 0.0000000E+000, 1.0506086E-005, 0.0000000E+000
 2.5019958E+000, 8.6661696E-001, 2.0079744E+000, 6.9449730E-002, 2.4662004E+000, 3.1333535E-002, 0.0000000E+000, 0.0000000E+000, 5.4076212E+000, 5.4415750E+000, 0.0000000E+000, 1.9220335E-005, 0.0000000E+000
 3.0061941E+000, 1.4136136E+000, 2.5035858E+000, 1.3137045E-001, 2.5081005E+000, 5.0719443E-002, 0.0000000E+000, 0.0000000E+000, 6.5754467E+000, 6.6073899E+000, 0.0000000E+000, 3.0637759E-005, 0.0000000E+000
 3.5198576E+000, 2.1189426E+000, 2.6714283E+000, 2.0056888E-001, 2.2721975E+000, 7.5470614E-002, 0.0000000E+000, 0.0000000E+000, 7.2865962E+000, 7.3386078E+000, 0.0000000E+000, 4.5315857E-005, 0.0000000E+000
 4.0119462E+000, 2.9624932E+000, 2.5906778E+000, 2.0205362E-001, 1.9668722E+000, 1.0349160E-001, 0.0000000E+000, 0.0000000E+000, 7.8025553E+000, 7.8255885E+000, 0.0000000E+000, 6.2645289E-005, 0.0000000E+000
 4.5138702E+000, 3.9376377E+000, 2.3923688E+000, 2.1306810E-001, 1.5890643E+000, 1.3463963E-001, 0.0000000E+000, 0.0000000E+000, 8.2623647E+000, 8.2667785E+000, 0.0000000E+000, 8.2511493E-005, 0.0000000E+000
 5.0015864E+000, 5.0521936E+000, 2.1464730E+000, 2.8499116E-001, 1.1494164E+000, 1.6766518E-001, 0.0000000E+000, 0.0000000E+000, 8.7714736E+000, 8.8007393E+000, 0.0000000E+000, 1.0497448E-004, 0.0000000E+000
 5.5090489E+000, 6.2960164E+000, 1.8535345E+000, 3.1108164E-001, 6.1058359E-001, 2.0662012E-001, 0.0000000E+000, 0.0000000E+000, 9.2624512E+000, 9.2778362E+000, 0.0000000E+000, 1.3033809E-004, 0.0000000E+000
 6.0006623E+000, 7.6927487E+000, 1.5047353E+000, 3.4887645E-001,-5.1865295E-003, 2.4440474E-001, 0.0000000E+000, 0.0000000E+000, 9.7744267E+000, 9.7855786E+000, 0.0000000E+000, 1.5859967E-004, 0.0000000E+000
