Output time [min],Output HRR from wood [kW],Output HRR inside enclosure [kW],Output HRR external to enclosure [kW],Output HRR total [kW],Output Gas Temp [DegC]
0.0,0.0,0.0,0.0,0.0,20.0
0.0215625,0.0,12.9375,0.0,12.9375,20.277205634123163
0.043125,0.0,25.875,0.0,25.875,20.825120368044225
0.0646875,0.0,38.8125,0.0,38.8125,21.619462071069165
0.08625,0.0,51.75,0.0,51.75,22.638547942504488
0.1078125,0.0,64.6875,0.0,64.6875,23.863011069510037
0.129375,0.0,77.625,0.0,77.625,25.27553344773719
0.1509375,0.0,90.5625,0.0,90.5625,26.86060519114318
0.1725,0.0,103.5,0.0,103.5,28.604311339968092
0.19406249999999997,0.0,116.43749999999999,0.0,116.43749999999999,30.49414463893214
0.215625,0.0,129.375,0.0,129.375,32.5188416762532
0.2371875,0.0,142.3125,0.0,142.3125,34.66823961032543
0.25875,0.0,150.0,0.0,150.0,36.81320479590869
0.28031249999999996,0.0,150.0,0.0,150.0,38.780809663936225
0.301875,0.0,150.0,0.0,150.0,40.58960471177738
0.3234375,0.0,150.0,0.0,150.0,42.25614331160193
0.345,0.0,150.0,0.0,150.0,43.79513871319244
0.36656249999999996,0.0,150.0,0.0,150.0,45.21964843304471
0.38812499999999994,0.0,150.0,0.0,150.0,46.54125626196736
0.40968750000000004,0.0,150.0,0.0,150.0,47.77024114662015
0.43125,0.0,150.0,0.0,150.0,48.91572965438769
0.4528125,0.0,150.0,0.0,150.0,49.985831764332886
0.474375,0.0,150.0,0.0,150.0,50.98776095005593
0.4959375,0.0,150.0,0.0,150.0,51.92793996578206
0.5175,0.0,150.0,0.0,150.0,52.81209384923147
0.5390625,0.0,150.0,0.0,150.0,53.64533160582573
0.5606249999999999,0.0,150.0,0.0,150.0,54.432217926811234
0.5821875,0.0,150.0,0.0,150.0,55.17683616048316
0.60375,0.0,150.0,0.0,150.0,55.88284362051445
0.6253124999999999,0.0,150.0,0.0,150.0,56.553520187454524
0.646875,0.0,150.0,0.0,150.0,57.1918110425197
0.6684374999999999,0.0,150.0,0.0,150.0,57.80036426798057
0.69,0.0,150.0,0.0,150.0,58.38156395559963
0.7115625,0.0,150.0,0.0,150.0,58.93755938290849
0.7331249999999999,0.0,150.0,0.0,150.0,59.47029074561988
0.7546875,0.0,150.0,0.0,150.0,59.98151187205468
0.7762499999999999,0.0,150.0,0.0,150.0,60.472810291075234
0.7978124999999999,0.0,150.0,0.0,150.0,60.94562497766822
0.8193750000000001,0.0,150.0,0.0,150.0,61.40126205912776
0.8409375,0.0,150.0,0.0,150.0,61.84090872895479
0.8625,0.0,150.0,0.0,150.0,62.2656455844193
0.8840625,0.0,150.0,0.0,150.0,62.67645757660972
0.905625,0.0,150.0,0.0,150.0,63.074243738188216
0.9271875,0.0,150.0,0.0,150.0,63.459825833515026
0.94875,0.0,150.0,0.0,150.0,63.83395605789707
0.9703125,0.0,150.0,0.0,150.0,64.197323897106
0.991875,0.0,150.0,0.0,150.0,64.55056224469394
1.0134375,0.0,150.0,0.0,150.0,64.89425286275286
1.035,0.0,150.0,0.0,150.0,65.2289312613841
1.0565624999999998,0.0,150.0,0.0,150.0,65.55509106307426
1.078125,0.0,150.0,0.0,150.0,65.87318791024228
1.0996875000000002,0.0,150.0,0.0,150.0,66.18364296727935
1.1212499999999999,0.0,150.0,0.0,150.0,66.48684606232479
1.1428125,0.0,150.0,0.0,150.0,66.783158508692
1.164375,0.0,150.0,0.0,150.0,67.0729156411864
1.1859375,0.0,150.0,0.0,150.0,67.35642909845575
1.2075,0.0,150.0,0.0,150.0,67.63398887891054
1.2290625,0.0,150.0,0.0,150.0,67.90586519458742
1.2506249999999999,0.0,150.0,0.0,150.0,68.17231014454222
1.2721875,0.0,150.0,0.0,150.0,68.4335592269091
1.29375,0.0,150.0,0.0,150.0,68.68983270660175
1.3153125,0.0,150.0,0.0,150.0,68.94133685373083
1.3368749999999998,0.0,150.0,0.0,150.0,69.18826506613033
1.3584375,0.0,150.0,0.0,150.0,69.43079888790504
1.38,0.0,150.0,0.0,150.0,69.66910893460016
1.4015625,0.0,150.0,0.0,150.0,69.90335573443679
1.423125,0.0,150.0,0.0,150.0,70.13369049403173
1.4446875,0.0,150.0,0.0,150.0,70.36025579611356
1.4662499999999998,0.0,150.0,0.0,150.0,70.58318623594158
1.4878125,0.0,150.0,0.0,150.0,70.80260900242286
1.509375,0.0,150.0,0.0,150.0,71.01864440928853
1.5309375,0.0,150.0,0.0,150.0,71.23140638112892
1.5524999999999998,0.0,150.0,0.0,150.0,71.44100289858795
1.5740625,0.0,150.0,0.0,150.0,71.64753640657256
1.5956249999999998,0.0,150.0,0.0,150.0,71.85110418893703
1.6171875,0.0,150.0,0.0,150.0,72.05179871275101
1.6387500000000002,0.0,150.0,0.0,150.0,72.24970794494448
1.6603124999999999,0.0,150.0,0.0,150.0,72.44491564384379
1.681875,0.0,150.0,0.0,150.0,72.63750162786204
1.7034375,0.0,150.0,0.0,150.0,72.82754202338361
1.725,0.0,150.0,0.0,150.0,73.01510949368333
1.7465625,0.0,150.0,0.0,150.0,73.20027345054052
1.768125,0.0,160.87499999999991,0.0,160.87499999999991,73.63180250882215
1.7896874999999999,0.0,173.81249999999994,0.0,173.81249999999994,74.33329617768993
1.81125,0.0,186.74999999999997,0.0,186.74999999999997,75.27931874647334
1.8328125,0.0,199.6875,0.0,199.6875,76.4472787622513
